Conversation ID	Words per hour	Speech per turn	Mean inter-speaker silence	Turn taking balance	Interruption rate	Grade level	MATTR lexical diversity	Mean word length	VADER sentiment	Responsivity rate
1	6373.99	9.02	0.5	0.966	0.01	2.61	444	4.28	0.299	0.152
2	6493.69	9.42	0.5	0.959	0.02	3.08	406	4.33	0.294	0.197
3	5119.84	8.54	0.5	0.938	0.01	2.55	374	4.3	0.262	0.132
4	7828.87	5.62	0.5	0.983	0.11	0.96	446	4.22	0.185	0.137
5	6318.28	8.19	0.5	0.956	0.07	1.41	407	4.23	0.233	0.211
6	7501.94	7.71	0.5	0.975	0.02	1.97	425	4.25	0.265	0.226
7	10473.77	7.62	3.38	0.877	0.0	3.81	440	4.28	0.274	0.081
8	11367.38	6.0	2.97	0.873	0.02	3.03	439	4.22	0.204	0.089
9	9562.37	9.58	3.54	0.857	0.0	3.61	418	4.21	0.247	0.082
11	6191.68	6.6	0.5	0.99	0.0	1.58	416	4.31	0.272	0.086
12	5917.47	18.84	0.5	0.998	0.03	3.34	399	4.26	0.282	0.317
14	11318.63	6.76	4.53	0.886	0.0	4.14	411	4.31	0.272	0.126
15	5270.34	15.97	0.5	0.968	0.0	3.43	394	4.29	0.246	0.245
16	6367.84	9.14	0.5	0.977	0.04	2.57	418	4.28	0.243	0.133
17	11726.67	11.07	5.36	0.844	0.0	5.12	414	4.26	0.279	0.117
18	12352.32	8.81	3.11	0.865	0.0	3.19	411	4.19	0.396	0.132
19	11006.51	10.25	6.24	0.871	0.0	4.76	403	4.25	0.33	0.155
20	11580.6	13.16	4.53	0.861	0.0	4.9	420	4.24	0.356	0.179
21	10824.36	9.23	4.4	0.905	0.01	3.94	397	4.14	0.237	0.107
22	11062.42	7.37	2.81	0.871	0.01	2.9	407	4.11	0.262	0.075
23	10790.56	14.07	6.59	0.9	0.0	4.92	395	4.2	0.262	0.125
