treatment,conversation,ease,sp,anxiety,tone
control,1,3.5,1.642857143,2.5,2.78125
control,2,3.166666667,1.535714286,2,1.9375
control,3,4,2.571428571,2.5,2.729166667
control,4,2.666666667,1.571428571,2.416666667,2.125
control,5,3,1.964285714,2.125,2.15625
control,6,2.777777778,1.714285714,1.833333333,2.104166667
control,7,2.777777778,1.428571429,1.666666667,2.083333333
control,8,2,2,1.8,1.8125
control,9,1.833333333,1.535714286,1.5,1.578125
part,11,3.166666667,1.428571429,2,1.875
part,12,3.222222222,1.238095238,2.833333333,2.25
part,14,2.416666667,1.75,2.6875,2.421875
full,15,2.111111111,2.285714286,1.833333333,2.229166667
full,16,3.222222222,2.142857143,2.375,2.739583333
full,17,3.722222222,2,2.416666667,2.552083333
full,18,3.5,1.857142857,2.25,2
full,19,2.833333333,2.392857143,2.375,2.3125
full,20,2.833333333,1.642857143,1.625,2.109375
full,21,1.866666667,1.828571429,1.8,2.3
full,22,2.611111111,1.761904762,1.583333333,1.84375
full,23,2.666666667,2.285714286,1.833333333,2.166666667
